"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"family","Acroloxidae","Aeshnidae","Ancylidae","Asellidae","Baetidae","Bithyniidae","Caenidae","Ceratopogonidae","Chaoboridae","Chironomidae","Coenagrionidae","Corixidae","Crambidae","Dreissenidae","Dytiscidae","Elmidae","Ephemerellidae","Ephemeridae","Erpobdellidae","Gammaridae","Gastrodontidae","Glossiphoniidae","Glossosomatidae","Goeridae","Gyrinidae","Haemopidae","Haliplidae","Hydraenidae","Hydrophilidae","Hydropsychidae","Hydroptilidae","Leptoceridae","Leuctridae","Limnephilidae","Limoniidae","Lumbricidae","Lumbriculidae","Lymnaeidae","Molannidae","NA","Naididae","Nemouridae","Nepidae","Neritidae","Notonectidae","Pediciidae","Perlodidae","Phryganeidae","Physidae","Planorbidae","Polycentropodidae","Psychomyiidae","Ptychopteridae","Rhyacophilidae","Scirtidae","Sericostomatidae","Sialidae","Simuliidae","Siphlonuridae","Sphaeriidae","Taeniopterygidae","Tateidae","Tipulidae","Unionicolidae","Valvatidae","Veliidae"
"ID006","  0.00","  0.00","  0.00","  0.00","  0.00","  6.25","  0.00","  0.00","  0.00","515.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.75","  0.00","  0.00","  0.00","157.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.50","  0.00"," 87.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","757.25","  0.00"," 14.00","  0.00","  0.00","  0.00","  0.00"
"ID007","    0.00","    0.00","    0.00","    0.00","    0.00","  103.25","    0.00","    0.00","  108.00","  607.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"," 3923.75","    0.00","    0.00","    0.00","14651.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   59.00","    0.00","  122.25","    0.00","    0.00","    0.00","    0.00"
"ID008","  0.00","  0.00","  0.00","277.75","  9.75","  5.75","  0.00","  0.00","  0.00"," 69.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 22.00","  0.00","  0.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00"," 76.75","  0.00"," 35.00"," 24.25","  4.75","  0.00","  0.00"," 11.00","111.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.75","  0.00","  0.00","  0.00","  0.00","  0.00","  9.75","  5.50"," 42.25","  0.00"," 21.50","  0.00","  0.00","  9.75","  0.00","  0.00","  0.00"
"ID009"," 0.00"," 0.00"," 0.00","51.25"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"ID010","  0.00","  0.00","  0.00","795.75","  3.75","  7.50","  0.00","  0.00","  2.25"," 16.75","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.50","  0.00"," 37.00","  8.00","  0.00","  1.25","  0.00"," 52.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.25","  6.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  9.75","  0.00","137.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00"
"ID011","  0.00","  0.00","  0.00"," 20.25","  0.00","  0.00","  0.00","  0.00","  0.00","409.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.25","  0.00","  0.00","  0.00","307.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 53.00","  0.00","  0.00","  0.00","  0.00"," 14.75","  0.00"
"ID012","   0.00","   0.00","   0.00"," 102.75","  46.50","   0.00","   0.00","   0.00","   0.00","1235.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  91.25","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.50","   0.00","  48.75"," 475.50","   3.00","   0.00","   0.00","   0.00","  40.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 499.75","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","  46.25","   0.00","   0.00","  35.50","   0.00","   0.00","   0.00"
"ID013","  0.00","  0.00","  0.00","  0.00"," 53.50","  0.00","  0.00","  0.00","  0.00","344.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","417.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","145.25","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"ID014","   0.00","   0.00","   0.00"," 304.00","  14.75","   0.75","   0.00","   0.00","   6.25","  72.50","   0.00","   0.00","   0.00","   0.00","   0.00"," 153.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.75","   0.00","   0.75","   0.00","   9.25","   0.00","   0.50","  34.25","   0.00","   0.00","   0.00","  74.25","  13.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.75","   0.00","   0.00","   0.00","   0.00","   0.00","  18.75","   0.00","2872.25","   0.00","   0.50","   0.00","   0.00","   0.00","   0.00"
"ID015","  0.00","  0.00","  0.00"," 94.75"," 42.00","  0.00","  0.00","  0.00","  0.00"," 21.00","  0.00","  0.00","  0.00","  0.00","  0.00","274.00","  0.00","  0.00","  0.00"," 11.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.50","  0.00","  0.00","  0.00","532.25","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.25","  0.00","636.50","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
"ID016","    0.00","    0.00","    0.00","   64.75","    1.75","    0.00","    0.00","    0.00","    0.00","18175.50","    0.00","    0.00","    0.00","    0.00","    0.00","    7.75","    0.00","    0.00","    0.00","    0.00","    0.00","   57.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.50","    0.00","    0.00","    0.00","   17.75","    0.00","    7.50","   70.00","    0.00","    0.00","    0.00"," 1042.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.75","    0.00","20252.50","    0.00","   11.50","    0.50","    0.00","    0.00","    0.00"
"ID017","   36.75","    0.00","    0.00"," 4296.75","    0.00","    0.00","    0.00","    0.00","    0.00"," 3185.50","    0.00","    0.00","    0.00","    0.00","    0.00","  181.25","    0.00","    0.00","    0.00","  117.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  439.50","    0.00","    0.00","    0.00","  852.75","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","38118.75","    0.00","   45.50","    0.00","    0.00","    0.00","    0.00"
"ID018","    0.00","    0.00","    0.00","  127.00","  170.75","   15.50","    0.00","    0.00","    0.00","  194.25","    1.00","    0.00","    0.00","    0.00","    0.00","  143.75","    0.00","    0.00","    0.00","   20.75","    0.00","    0.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   21.50","    0.00","    0.50","    0.00","    0.00","   72.50","    1.75","    0.00","    0.00","  167.75","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.75","    0.00","31063.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"ID019","   14.25","    0.00","    0.00","  213.00","36627.75"," 1492.50","    0.00","    0.00","    0.00","  969.25","    0.00","    0.00","    0.00","    0.00","    0.00","13394.50","    0.00","    0.00","    0.00","  192.00","    0.00","    1.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  192.75","   36.00","   21.75","    0.00","   85.50","    0.00","   35.75","  252.75","    2.75","    0.00","    0.00","87146.75","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.75","    0.00","   25.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"," 6042.75","    0.00","  174.00","    0.00","    0.00","    6.75","    0.00"
"ID020","    3.75","    0.00","    0.00","  974.75","   61.75","   20.25","    0.00","    0.00","    0.00","  613.50","    0.00","    0.00","    0.00","    0.00","    0.00","  496.75","    0.00","    0.00","    0.00","   14.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.25","    0.00","   10.75","    0.00","   11.00","    0.00","    0.00","    4.75","    0.75","    0.00","    0.00","  133.25","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.50","    0.00","    0.00","    0.00","    0.00","    0.00","    8.00","    0.00","51457.25","    0.00","   16.00","    0.00","    0.00","    9.25","    0.00"
"ID021","   1.6666667","   0.0000000","   0.0000000","   0.0000000","   0.0000000","  77.0000000","   0.0000000","   0.0000000","   0.0000000"," 566.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.6666667","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","  20.3333333","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000"," 172.3333333","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000","4328.3333333","   0.0000000"," 188.0000000","   0.0000000","   0.0000000","   0.0000000","   0.0000000"
"ID022","   0.00","   0.00","   0.00","  47.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 378.75","   0.00","   0.00","   0.00","   0.00","   3.50","   0.75","   0.00","   0.00","   0.00","  55.25","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   2.50","   0.00","   0.00","  79.75","   0.00","  50.50","  40.00","  34.50","   0.00","   0.00"," 335.50","1091.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","1399.50","   0.00","  25.50","   0.00","   6.25","   0.00","   0.00","   0.00","   0.00"
"ID023","    0.00","    0.00","    0.00","   38.25","   10.75","    0.75","    0.00","    0.00","    0.00","22515.25","    0.00","    0.00","    0.00","    0.00","    1.25","   36.00","    0.00","    0.00","    0.00","  355.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.50","   48.00","    0.50","    0.00","    0.00"," 2515.00","  225.75","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"," 2237.00","    0.00","   56.50","    1.25","    6.50","    0.00","    0.00","    0.00","    0.00"
"ID024","  0.00","  0.00","  0.00","105.50","  2.25","  0.00","  0.00","  0.00","  0.00"," 65.25","  0.00","  0.00","  0.00","  0.00","  0.75"," 19.00","  0.00","  0.00","  0.00"," 16.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.50","  0.00","  0.75","  0.00","  0.00"," 52.00","  0.00","  0.00","  0.75","  0.00","  0.00","  0.00","  3.75"," 31.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.25","  0.00","  7.50","  0.00","  0.00","  0.75","  0.00","  0.00","  0.00"
"ID025","    0","    0","    0","    0","    0","    0","    0","    0","    0","20421","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   38","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  234","    0","    0","    0","    0","    0","    0"
"ID026","   0.00","   0.00","   0.00"," 740.25","  59.25","   0.00","   0.00","   0.00","  23.25","3208.25","   0.00","   0.00","   0.00","   0.00","   0.00"," 366.75","   0.00","   0.00","   0.00"," 135.00","   0.75","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 214.25","   0.00","   0.00","   0.00","  52.25","   0.00","  39.75"," 223.00","   0.00","   0.00","   0.00"," 108.25"," 307.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.50","   7.00"," 300.50","   0.00","   0.50","   0.00","   0.00","1210.00","   0.00","  69.25","   0.00","   7.25","   9.25","   0.00","   0.00","   0.00"
"ID027","   0.00","   0.00","   0.00","   2.50","3600.50","   0.00","   0.00","   0.00","   0.00"," 524.75","   0.00","   0.00","   0.00","   0.00","   0.00"," 277.75","   0.00","   0.00","   0.00","   8.25","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.50","   0.00","   0.00","   0.00","   5.50"," 105.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  14.25","2767.75","   0.00","   0.00","   0.00","   0.00","  13.50","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"ID028","   0.00","   0.00","   0.00","  78.50","   0.00","   0.00","   0.00","   0.00","   0.00","6310.50","   0.00","   0.00","   0.50","   0.00","   5.00","   2.00","   0.00","   0.00","   0.00","  35.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","  10.50","   0.50","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  41.75","   2.50","   0.00","   0.00","   8.25","   0.00","   0.00","   0.00","   0.00","   1.25","   0.00","  47.75","   0.00","   0.00","   0.00","   0.00","   0.00","   4.25"
"ID029","   0.00","   0.00","   0.00","   0.00","3509.75","   0.00","   0.00","   0.00","   0.00","3052.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  27.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"ID030","  0.00","  1.75","  0.50"," 82.75","  5.75","  0.00","  0.00","  0.00","  0.00","101.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 22.50","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","255.75","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00"," 13.25","  3.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.25","  0.00","  0.50","  0.00","  0.00","  0.00","  0.00","  0.00"," 19.25","  0.00","834.50","  0.00","  0.50","  0.00","  0.00","  0.00","  1.25"
"ID031","  0.00","  0.00","  0.00","  0.00","389.00","  2.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  0.00","  0.00","101.50","  0.00","  0.00","  0.00","  0.50","  0.00","  0.00","  0.00","  0.00","  2.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 37.25","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00"," 41.75","  0.50","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 71.25","  0.00","  1.75","  0.00","  0.00","  0.00","  0.00"
